Discipline,School,List_Number,Merit_Position,Aggregate
BBA,NBS,1,391,77.17
BBA,NBS,2,625,75.03
BBA,NBS,3,697,74.38
BBA,NBS,4,719,74.18
BBA,NBS,5,748,73.91
BBA,NBS,6,753,73.87
BBA,NBS,7,762,73.78
BBA,NBS,8,763,73.77
BBA,NBS,9,763,73.77
BBA,NBS,10,768,73.73
BBA,NBS,11,771,73.7
BBA,NBS,Final,773,73.68
BE Aerospace Engineering,CAE,1,939,74.4
BE Aerospace Engineering,CAE,2,1626,69.76
BE Aerospace Engineering,CAE,3,2181,68.2
BE Aerospace Engineering,CAE,4,2263,67.97
BE Aerospace Engineering,CAE,5,2263,67.97
BE Aerospace Engineering,CAE,6,2309,67.84
BE Aerospace Engineering,CAE,7,2462,67.42
BE Aerospace Engineering,CAE,8,2462,67.42
BE Aerospace Engineering,CAE,9,2462,67.42
BE Aerospace Engineering,CAE,10,2470,67.4
BE Aerospace Engineering,CAE,11,2470,67.4
BE Aerospace Engineering,CAE,Final,2470,67.4
BE Aerospace Engineering,SMME,1,892,74.74
BE Aerospace Engineering,SMME,2,1769,69.36
BE Aerospace Engineering,SMME,3,2028,68.63
BE Aerospace Engineering,SMME,4,2118,68.38
BE Aerospace Engineering,SMME,5,2195,68.16
BE Aerospace Engineering,SMME,6,2246,68.02
BE Aerospace Engineering,SMME,7,2333,67.78
BE Aerospace Engineering,SMME,8,2333,67.78
BE Aerospace Engineering,SMME,9,2410,67.56
BE Aerospace Engineering,SMME,10,2493,67.36
BE Aerospace Engineering,SMME,11,2526,67.28
BE Aerospace Engineering,SMME,Final,2526,67.28
BE Avionics Engineering,CAE,1,1222,72.38
BE Avionics Engineering,CAE,2,2346,67.74
BE Avionics Engineering,CAE,3,2731,66.84
BE Avionics Engineering,CAE,4,2845,66.45
BE Avionics Engineering,CAE,5,2845,66.45
BE Avionics Engineering,CAE,6,2845,66.45
BE Avionics Engineering,CAE,7,2845,66.45
BE Avionics Engineering,CAE,8,2845,66.45
BE Avionics Engineering,CAE,9,2845,66.45
BE Avionics Engineering,CAE,10,2879,66.33
BE Avionics Engineering,CAE,11,2922,66.18
BE Avionics Engineering,CAE,Final,2922,66.18
BE Chemical Engineering,SCME,1,2030,54.75
BE Chemical Engineering,SCME,2,3424,55.6
BE Chemical Engineering,SCME,3,4278,56.39
BE Chemical Engineering,SCME,4,4728,56.81
BE Chemical Engineering,SCME,5,4925,56.99
BE Chemical Engineering,SCME,6,4950,57.01
BE Chemical Engineering,SCME,7,4953,57.02
BE Chemical Engineering,SCME,8,5089,57.14
BE Chemical Engineering,SCME,9,5142,57.19
BE Chemical Engineering,SCME,10,5246,57.29
BE Chemical Engineering,SCME,11,5284,57.32
BE Chemical Engineering,SCME,Final,5377,57.41
BE Civil Engineering,MCE,1,5772,59.82
BE Civil Engineering,MCE,2,5933,59.58
BE Civil Engineering,MCE,3,6561,56.76
BE Civil Engineering,MCE,4,7423,54.82
BE Civil Engineering,MCE,5,8082,54.7
BE Civil Engineering,MCE,6,8552,53.48
BE Civil Engineering,MCE,7,8961,53.43
BE Civil Engineering,MCE,8,8918,53.44
BE Civil Engineering,MCE,9,8918,53.44
BE Civil Engineering,MCE,10,9067,53.42
BE Civil Engineering,MCE,11,9254,53.37
BE Civil Engineering,MCE,Final,9604,53.12
BE Civil Engineering,NBC,1,7440,54.95
BE Civil Engineering,NBC,2,7886,55.89
BE Civil Engineering,NBC,3,8184,54.08
BE Civil Engineering,NBC,4,9037,53.43
BE Civil Engineering,NBC,5,10081,52.77
BE Civil Engineering,NBC,6,11119,52.01
BE Civil Engineering,NBC,7,11999,51.36
BE Civil Engineering,NBC,8,12715,50.83
BE Civil Engineering,NBC,9,13359,50.36
BE Civil Engineering,NBC,10,14149,50.01
BE Civil Engineering,NBC,11,14805,49.91
BE Civil Engineering,NBC,Final,15826,49.75
BE Civil Engineering,NICE,1,1778,69.34
BE Civil Engineering,NICE,2,3107,65.24
BE Civil Engineering,NICE,3,3933,63.79
BE Civil Engineering,NICE,4,4504,62.73
BE Civil Engineering,NICE,5,4786,62.2
BE Civil Engineering,NICE,6,4830,62.12
BE Civil Engineering,NICE,7,4900,62
BE Civil Engineering,NICE,8,5006,61.77
BE Civil Engineering,NICE,9,5023,61.72
BE Civil Engineering,NICE,10,5057,61.63
BE Civil Engineering,NICE,11,5229,61.15
BE Civil Engineering,NICE,Final,5407,60.66
BE Computer Engineering,CEME,1,1072,75.05
BE Computer Engineering,CEME,2,2101,71.39
BE Computer Engineering,CEME,3,2642,70
BE Computer Engineering,CEME,4,2944,69.49
BE Computer Engineering,CEME,5,2897,69.57
BE Computer Engineering,CEME,6,2897,69.57
BE Computer Engineering,CEME,7,2997,69.39
BE Computer Engineering,CEME,8,3044,69.31
BE Computer Engineering,CEME,9,3098,69.22
BE Computer Engineering,CEME,10,3174,69.09
BE Computer Engineering,CEME,11,3216,69.02
BE Computer Engineering,CEME,Final,3260,68.94
BE Computer Engineering,SEECS,1,327,79.58
