Category,Discipline,School,List_Number,Merit_Position,Aggregate
Applied,BS Agriculture,ASAB,1,275,
Applied,BS Agriculture,ASAB,2,632,
Applied,BS Agriculture,ASAB,3,1065,
Applied,BS Agriculture,ASAB,4,1599,
Applied,BS Agriculture,ASAB,5,2141,
Applied,BS Agriculture,ASAB,6,2184,
Applied,BS Agriculture,ASAB,7,2264,
Applied,BS Agriculture,ASAB,Final,2779,
Applied,BS Biotechnology,ASAB,1,63,
Applied,BS Biotechnology,ASAB,2,212,
Applied,BS Biotechnology,ASAB,3,370,
Applied,BS Biotechnology,ASAB,4,417,
Applied,BS Biotechnology,ASAB,5,432,
Applied,BS Biotechnology,ASAB,6,433,
Applied,BS Biotechnology,ASAB,7,462,
Applied,BS Biotechnology,ASAB,Final,704,
Applied,BS Chemistry,SNS,1,800,
Applied,BS Chemistry,SNS,2,842,
Applied,BS Chemistry,SNS,3,899,
Applied,BS Chemistry,SNS,4,974,
Applied,BS Chemistry,SNS,5,1172,
Applied,BS Chemistry,SNS,6,1393,
Applied,BS Chemistry,SNS,7,1652,
Applied,BS Chemistry,SNS,Final,2240,
Applied,BS Food Science and Technology,ASAB,1,60,
Applied,BS Food Science and Technology,ASAB,2,259,
Applied,BS Food Science and Technology,ASAB,3,503,
Applied,BS Food Science and Technology,ASAB,4,797,
Applied,BS Food Science and Technology,ASAB,5,1117,
Applied,BS Food Science and Technology,ASAB,6,1128,
Applied,BS Food Science and Technology,ASAB,7,1142,
Applied,BS Food Science and Technology,ASAB,Final,1432,
Applied,BS Mathematics,SNS,1,1000,
Applied,BS Mathematics,SNS,2,1198,
Applied,BS Mathematics,SNS,3,1238,
Applied,BS Mathematics,SNS,4,1252,
Applied,BS Mathematics,SNS,5,1283,
Applied,BS Mathematics,SNS,6,1325,
Applied,BS Mathematics,SNS,7,1384,
Applied,BS Mathematics,SNS,Final,1814,
Applied,BS Physics,SNS,1,1000,
Applied,BS Physics,SNS,2,1006,
Applied,BS Physics,SNS,3,1038,
Applied,BS Physics,SNS,4,1067,
Applied,BS Physics,SNS,5,1102,
Applied,BS Physics,SNS,6,1188,
Applied,BS Physics,SNS,7,1312,
Applied,BS Physics,SNS,Final,1778,
Architecture,BS Architecture,SADA,1,63,74.7
Architecture,BS Architecture,SADA,2,117,70.09
Architecture,BS Architecture,SADA,3,122,69.66
Architecture,BS Architecture,SADA,4,125,69.41
Architecture,BS Architecture,SADA,5,133,68.72
Architecture,BS Architecture,SADA,6,133,68.72
Architecture,BS Architecture,SADA,7,134,68.64
Architecture,BS Architecture,SADA,Final,163,66.16
Architecture,BS Industrial Design,SADA,1,124,69.49
Architecture,BS Industrial Design,SADA,2,193,63.6
Architecture,BS Industrial Design,SADA,3,239,61.84
Architecture,BS Industrial Design,SADA,4,259,61.19
Architecture,BS Industrial Design,SADA,5,275,60.66
Architecture,BS Industrial Design,SADA,6,278,60.55
Architecture,BS Industrial Design,SADA,7,285,60.31
Architecture,BS Industrial Design,SADA,Final,333,58.64
Business,BBA,NBS,1,362,77.45
Business,BBA,NBS,2,676,75.77
Business,BBA,NBS,3,676,75.77
Business,BBA,NBS,4,677,75.76
Business,BBA,NBS,5,698,75.64
Business,BBA,NBS,6,699,75.63
Business,BBA,NBS,7,719,75.51
Business,BBA,NBS,Final,770,75.2
Business,BS Accounting and Finance,NBS,1,409,77.2
Business,BS Accounting and Finance,NBS,2,772,75.19
Business,BS Accounting and Finance,NBS,3,818,74.91
Business,BS Accounting and Finance,NBS,4,885,74.46
Business,BS Accounting and Finance,NBS,5,960,73.77
Business,BS Accounting and Finance,NBS,6,961,73.76
Business,BS Accounting and Finance,NBS,7,977,73.62
Business,BS Accounting and Finance,NBS,Final,1089,72.59
Business,BS Economics,S3H,1,559,76.41
Business,BS Economics,S3H,2,981,73.58
Business,BS Economics,S3H,3,1091,72.57
Business,BS Economics,S3H,4,1211,71.47
Business,BS Economics,S3H,5,1256,71.05
Business,BS Economics,S3H,6,1297,70.68
Business,BS Economics,S3H,7,1320,70.46
Business,BS Economics,S3H,Final,1469,69.1
Business,BS Mass Communication,S3H,1,929,74.06
Business,BS Mass Communication,S3H,2,1431,69.44
Business,BS Mass Communication,S3H,3,1781,65.62
Business,BS Mass Communication,S3H,4,2053,64.19
Business,BS Mass Communication,S3H,5,2234,63.24
Business,BS Mass Communication,S3H,6,2361,62.57
Business,BS Mass Communication,S3H,7,2490,61.89
Business,BS Mass Communication,S3H,Final,2775,60.39
Business,BS Psychology,S3H,1,809,74.96
Business,BS Psychology,S3H,2,1283,70.8
Business,BS Psychology,S3H,3,1509,68.61
Business,BS Psychology,S3H,4,1646,66.6
Business,BS Psychology,S3H,5,1721,65.94
Business,BS Psychology,S3H,6,1721,65.94
Business,BS Psychology,S3H,7,1772,65.67
Business,BS Psychology,S3H,Final,2071,64.09
Business,BS Public Administration,S3H,1,856,74.68
Business,BS Public Administration,S3H,2,1320,70.46
Business,BS Public Administration,S3H,3,1662,66.37
Business,BS Public Administration,S3H,4,1958,64.69
Business,BS Public Administration,S3H,5,2091,63.99
Business,BS Public Administration,S3H,6,2141,63.73
Business,BS Public Administration,S3H,7,2308,62.85
Business,BS Public Administration,S3H,Final,2645,61.07
Business,BS Tourism and Hospitality,NBS,1,1000,73.4
Business,BS Tourism and Hospitality,NBS,2,1474,69.05
Business,BS Tourism and Hospitality,NBS,3,1737,65.85
Business,BS Tourism and Hospitality,NBS,4,2010,64.42
Business,BS Tourism and Hospitality,NBS,5,2140,63.73
Business,BS Tourism and Hospitality,NBS,6,2241,63.2
Business,BS Tourism and Hospitality,NBS,7,2313,62.82
Business,BS Tourism and Hospitality,NBS,Final,2757,60.48
Business,LLB,S3H,1,100,84.9
Business,LLB,S3H,2,172,82.39
Business,LLB,S3H,3,226,80.51
Business,LLB,S3H,4,251,79.63
Business,LLB,S3H,5,253,79.56
Business,LLB,S3H,6,257,79.42
Business,LLB,S3H,7,261,79.28
Business,LLB,S3H,Final,282,78.55
Computing,BS Bioinformatics,SINES,1,409,79.44
Computing,BS Bioinformatics,SINES,2,622,77.85
Computing,BS Bioinformatics,SINES,3,772,76.85
Computing,BS Bioinformatics,SINES,4,914,75.81
Computing,BS Bioinformatics,SINES,5,1063,75.08
Computing,BS Bioinformatics,SINES,6,1183,74.65
Computing,BS Bioinformatics,SINES,7,1321,74.15
Computing,BS Bioinformatics,SINES,Final,1554,73.23
Computing,BS Computer Engineering,EME,1,725,77.19
Computing,BS Computer Engineering,EME,2,1803,72.39
Computing,BS Computer Engineering,EME,3,2181,71.24
Computing,BS Computer Engineering,EME,4,2327,70.79
Computing,BS Computer Engineering,EME,5,2384,70.62
Computing,BS Computer Engineering,EME,6,2440,70.45
Computing,BS Computer Engineering,EME,7,2448,70.42
Computing,BS Computer Engineering,EME,Final,2746,69.83
